question1_stemmed,question2_stemmed,scores,is_duplicate
step step guid invest share market india,step step guid invest share market,0.8955324150715726,0
stori kohinoor koh noor diamond,would happen indian govern stole kohinoor koh noor diamond back,0.4109954639349511,0
increas speed internet connect use vpn,internet speed increas hack dns,0.38087260847594373,0
mental lone solv,find remaind math 23 24 math divid 24 23,0.0,0
one dissolv water quik sugar salt methan carbon di oxid,fish would surviv salt water,0.16836842163679844,0
astrolog capricorn sun cap moon cap rise say,tripl capricorn sun moon ascend capricorn say,0.3794965521353535,1
buy tiago,keep childern activ far phone video game,0.0,0
good geologist,great geologist,0.3360969272762574,1
use シ instead し,use instead,0.9999999999999998,0
motorola compani hack charter motorolla dcx3400,hack motorola dcx3400 free internet,0.3808726084759436,0
method find separ slit use fresnel biprism,thing technician tell durabl reliabl laptop compon,0.0,0
read find youtub comment,see youtub comment,0.4112070550676187,1
make physic easi learn,make physic easi learn,1.0,1
first sexual experi like,first sexual experi,0.7765145304745156,1
law chang status student visa green card us compar immigr law canada,law chang status student visa green card us compar immigr law japan,0.8680942667801238,0
would trump presid mean current intern master ’ student f1 visa,trump presid affect student present us plan studi us,0.1686568927747246,1
manipul mean,manipul mean,0.9999999999999998,1
girl want friend guy reject,guy feel reject girl,0.5101490193104813,0
mani quora user post question readili answer googl,peopl ask quora question answer easili googl,0.36802320875611494,1
best digit market institut banglor,best digit market institut pune,0.6694188517266485,0
rocket look white,rocket booster paint white,0.4112070550676187,1
caus someon jealous,avoid jealous someon,0.5031026124151314,0
question ask quora,question ask quora,1.0000000000000002,0
much 30 kv hp,find convers chart cc horsepow,0.0,0
mean everi time look clock number,mani time day clock ’ hand overlap,0.20199309249791833,0
tip make job interview process medicin,tip make job interview process foundat medicin,0.8673636849609287,0
web applic,web applic framework,0.7092972666062738,0
societi place much import sport,sport contribut societi,0.3563004293331381,0
best way make money onlin,best way ask money onlin,0.6694188517266485,0
prepar ca final law,one know complet prepar ca final exam,0.4073526042885674,1
one thing would like better,one thing despit know better,0.43161341897075145,0
special care someon nose get stuffi night,keep nose get stuffi night,0.5193879933129156,1
game throne villain would like give merci,game throne villain would like merci,0.8673636849609287,1
unit state govern still blacklist employ etc unit state citizen polit view,averag speed gas molecul determin,0.0,0
best travel websit spain,best travel websit,0.7765145304745156,0
peopl think obama tri take gun away,gun control initi take away gun peopl alreadi,0.44141890396079014,0
19 year old improv skill becom entrepreneur next year,19 year old guy becom billionair next 10 year,0.5744651733947117,0
girlfriend ask boyfriend choos make want one repli,girlfriend said end confus feel wish well disconnect call ask want get back togeth,0.16812000266237895,0
prepar upsc,prepar civil servic,0.2605556710562624,1
stall speed aoa f 14 wing fulli swept back,aircraft stop use variabl sweep wing like f 14,0.14438355527738672,0
slav squat,squat make leg thicker,0.22028815056182965,0
expect cogniz confirm mail,expect cogniz confirm mail,1.0,0
make 50 000 month day trade,make 30 000 month day trade,0.7168117414430624,0
good kid rebel worth long run,bore good kid,0.31878402175377923,0
univers rexnord recruit new grad major look,univers bandg food recruit new grad major look,0.6735205045780811,0
quickest way increas instagram follow,increas number instagram follow,0.5101490193104813,0
darth vader fought darth maul star war legend,quora charact limit profil descript,0.0,0
stage break coupl mean happen break emot whether male femal,affect breakup boy girl,0.0,0
exampl product make crude oil,product made crude oil,0.5101490193104813,1
make friend,make friend,0.9999999999999998,1
career launcher good rbi grade b prepar,career launcher onlin program rbi grade b,0.5031026124151313,1
blu ray play regular dvd player,play blu ray dvd regular dvd player,0.9525793444156804,1
nd alway sad,aerodynam happen propellor rotat,0.0,0
best memor thing ever eaten,delici dish ever eaten,0.29121941856368966,1
gst affect cas tax offic,homework,0.0,0
difficult get rsi,appli program like rsi rise senior,0.1362763414390864,0
israil friend,boyfriend lie true feel friend secret attract,0.16171378066252898,0
good rap song danc,best rap song,0.4112070550676187,0
sudden log gmail rememb gmail password realiz recoveri email longer aliv,rememb gmail password recoveri email recov e mail,0.47432980456918206,1
best way learn french,learn french gender,0.4112070550676187,0
download content kickass torrent without registr,kickass torrent trustworthi,0.31878402175377923,0
normal dark ring around iri eye,caus dark ring around iri treat,0.5031026124151313,0
new harri potter book harri potter curs child,bad new book j k rowl,0.17578607839334617,1
alway get depress,alway get depress even,0.7765145304745156,0
find european famili offic databas,find u famili offic databas,0.8181802073667197,0
java program learn java program languag,learn comput languag like java,0.4069290338737718,1
best book ever made,import book ever read,0.3360969272762575,1
ever store energi produc lightn,possibl store energi lightn,0.5101490193104813,1
review perform test,perform test,0.7092972666062738,0
cost much privaci germani come els lost gain much privaci,peopl genuin enjoy salad dress,0.0,0
type immun,differ type immun bodi,0.5797386715376657,0
narcissist person disord,narcissist person disord,1.0000000000000002,1
speak english fluentli,learn speak english fluentli,0.7765145304745156,1
help quickbook auto data recoveri support phone number recov corrupt data file,quickbook custom support phone number usa,0.29106910238190536,1
richest gambler time reach level,richest gambler time reach level gambler,0.9486832980505138,1
fire bullet backward aircraft go faster bullet bullet go backward,bullet travel faster speed sound shot gun possibl gun much devast occur,0.14464120258396235,0
prevent breast cancer,breast cancer prevent,1.0000000000000002,0
log gmail account friend phone,know log gmail account tell ip address devic name,0.2952675553824053,0
make money internet,differ way make money onlin exclud sell thing,0.26951761324603224,0
purpos life,purpos life life actual,0.8032002037467096,1
bjp govern strip muslim christian indian citizenship put boat like rohingya burma,india appli burma rohingya model deport illeg bangladeshi,0.11521554337793123,0
right etiquett wish jehovah wit happi birthday,import first person wish someon happi birthday,0.275195812175023,0
someon want open commerci fm radio station citi india much cost procedur,want make travel commerci clip video hd india new zealand much cost,0.2655714473159557,0
swiss despis asian,technic employe despis sale peopl much,0.1362763414390864,0
high salari incom job field biotechnolog,high pay job fresher tech biotechnolog,0.3360969272762574,1
increas height 21 also,height increas 25,0.4112070550676187,1
major effect cambodia earthquak effect compar kamchatca earthquak 1952,major effect cambodia earthquak effect compar valparaiso earthquak 1822,0.7357532581618296,1
differ sincer fair,differ honest sincer,0.5031026124151314,0
best game laptop 60k inr,best game laptop rs 60000,0.43161341897075145,1
review next warrior prove ground part 9,review next warrior prove ground part 5,1.0000000000000002,0
best refer book physic class 11th,book choos refer physic chemistri class 11 cbse board,0.3808165329771113,0
nation institut technolog kurukshetra social life nitk surathk,nation institut technolog karnataka nitk surathk graduat batch lesson would want give junior leav,0.3169434500659641,0
best romant movi english,best romant movi ever seen,0.5101490193104813,1
caus nightmar,caus nightmar seem real,0.5797386715376657,1
abstract expression paint,major influenc abstract expression,0.4112070550676187,0
3d print work,3d print work,1.0000000000000002,1
like attend caltech jeremi ehrhardt,notabl folk attend caltech,0.29121941856368966,0
harri becom horcrux,horcrux,0.4494364165239821,0
best associ product manag apm program someon earli 20s join learn product manag reward career compani,general requir becom product manag program manag product base softwar compani,0.4112070550676187,0
number skype 1 855 425 3768 alway busi,could get skype work android 4 1 1 phone,0.0845798608014702,0
realli war india pakistan uri attack effect,nuclear war india pakistan,0.4073526042885674,1
ronald reagan manner speech,ronald reagan react 9 11,0.3360969272762575,0
war strategi union confeder civil war,could confeder possibl defeat union forc gettysburg american civil war,0.4191821712761312,0
best fiction novel 2016,best fiction novel,0.7765145304745156,0
recov email forgot password,forgot email password,0.7765145304745156,1
recent demonetis result higher gdp much,demonetis could affect gdp india short run long run,0.1429197295221492,0
ever heard travel hack,whatsapp hack,0.22028815056182965,0
differ love piti,differ love piti,1.0000000000000002,1
competit hire process republ bank,competit hire process bank,0.8181802073667197,0
googl help spam rank adjust search result,distribut traffic googl organ search result e g 1 versus 2 rank first page versus second page,0.23304831764702302,0
watch gonulcelen english subtitl,watch sarrainodu subtitl,0.4112070550676187,0
usa power countri world,usa power countri world,1.0,0
obtain instant ulcer pain relief,better low back pain heat ice,0.10163066979112656,0
think china food,think chines food,0.5031026124151314,1
take advantag someon mean,wors take advantag someon materialist,0.5101490193104813,0
cri happi sad,cri,0.4494364165239821,0
girl like stick tongu take pictur,teen girl women general allow boyfriend take nake pictur day digit age,0.22028815056182963,0
find end novel 1984 depress,winston julia differ novel 1984 similar,0.22576484600261604,0
mind blow comput tool exist peopl know,mind blow technolog exist peopl know,0.6327904583679949,0
toothbrush wet dri appli toothpast,cheapest toothpast,0.19431434016858146,0
question mark need imrov,ask question without get mark ‘ need improv ’,0.4073526042885674,1
differ neutral state buffer state,everi state usa declar war would win,0.17707518167992103,0
miner hold highest electr charg,miner hold greatest electr charg,0.6694188517266485,1
greatest mysteri univers,greatest mysteri time,0.5031026124151314,0
altern machin learn,sampl multi class imbal data set,0.0,0
china block sanction un jaish e mohammad jem chief masood azhar,china support masood azhar,0.3278707471841718,1
mean futur budget,mean futur,0.7092972666062738,0
excess amount vitamin c caus miscarriag,vitamin c caus miscarriag,0.6569729210330906,1
like work asahi india glass pay scale one two year,get call letter get letter intent asahi india glass recruit,0.14706640388177183,0
access torbox india,access googl com india,0.4112070550676187,0
yakshini mantra,yantra mantra,0.3360969272762574,0
six parti talk success,cours better nicmar,0.0,0
regist domain site email,regist domain,0.5797386715376657,0
normal older men attract young women,attract older men,0.5797386715376658,0
strongest structur strongest shape compress,strongest kevlar cord,0.28530619098136084,0
rohingya muslim,rohingya peopl,0.3360969272762574,1
matter whether human selfish evil,matter whether human evil,0.8181802073667197,1
exocytosi endocytosi exampl activ passiv transport,exampl passiv transport cell,0.4501755023269897,0
get hair bald head,shave head 2 year get bald grew hair hair intial loos hair,0.6414026319339776,0
ideal life retir,life retir,0.7092972666062738,0
stanc pakistan,stanc pakistan possess weapon mass destruct north korea support dprk dprk,0.29032099736023764,0
good websit escort,find good escort,0.5031026124151314,0
one better polo diesel grand i10 petrol,best diet grow decathlet,0.0,0
black hole mass,black hole finit mass,0.7765145304745156,1
morgan freeman correct say way stop racism stop talk,view morgan freeman quot racism,0.26242093626195995,1
fab current offer new employe stock option rsus,uber current offer new employe stock option rsus,0.7799154245579976,0
would review site waveclu,good pay review site,0.3360969272762575,0
mani way distribut 10 ident look pencil 4 student student get least one pencil,mani way 12 appl distribut among 4 children everi child get least 2 appl,0.19554251865525688,0
much would cost hire jerri seinfeld 1 2 hour,much averag would cost video tape 2 hour present,0.36802320875611494,0
7 day late rabi vaccin possibl non bite exposur,take rabi inject 1 day dog bite,0.27982806524328774,0
mani year britain rule india,standard amount time given intern reloc,0.0,0
stop afraid work,stop afraid everyth,0.5031026124151314,0
red keep key oitnb,red keep key season 4 orang new black,0.4073526042885674,1
age someon lose virgin,age lose virgin,0.7765145304745156,0
forget,forget wife,0.5797386715376657,0
could snoke secret darth maul,could snoke darth plaguei kill emperor palpatin,0.34464214103805474,0
monet youtub video upload copyright content chanc googl may block account,upload movi youtub monet issu copyright,0.3359813637757791,1
would switch canon 6d leica lux 109,tripod get canon 6d,0.23790309463326234,0
quora websit look like member quora moder,quora look moder,0.6687318761258383,1
nobodi answer question quora,one answer question quora,0.6029748160380572,1
funniest joke know,funniest joke time,0.5031026124151314,1
got job offer chelmsford essex london £3764 pm pay tax deduct pls advic tentat month expens coupl save possibl,leav norway pay mortgag bsu account sell apart without pay back tax deduct got bsu,0.15559989635338192,0
stereotyp unit kingdom,american think unit kingdom,0.4112070550676187,0
use twitter busi sourc,use twitter busi,0.7765145304745156,1
transfer money skrill paypal account,send money paypal account skrill account withdraw,0.6181142335061833,0
best earphon deep bass 1000,best earphon rs 1000,0.5101490193104813,1
govern employe elig sukanya samrudi yojana,govern employe appli iec,0.2605556710562624,0
correct look forward speak look forward speak,correct speak speak,0.49025902165470653,0
best engin field,best field engin,1.0000000000000002,1
make life suit stop life abus mental emot,emot abus peopl life sever ex boyfriend friend past cowork boss abus attract,0.2750136706249193,0
differ gross salari ctc,seem differ week paycheck year salari employ agre upon work,0.19431434016858148,0
prosper town kerala,mani christian kerala,0.20199309249791833,0
best way gain confid,speak clariti confid,0.17077611319011649,0
anyon see relat greek god hindu god,parallel draw god hindu mytholog greek mytholog egyptian mytholog etc,0.21628591640979727,1
switch appl music spotifi,switch spotifi appl music,1.0,0
best fix incom fund,best fix incom fund,1.0,1
like live cologn,like live köln germani,0.4112070550676187,1
robert de niro al pacino success,regard best actor robert de niro al pacino,0.57273935841962,0
peopl prefer small famili,peopl prefer live small famili,0.8181802073667197,1
anim kiss,anim besid human kiss,0.5797386715376657,1
get delet instagram chat,view delet instagram dms,0.3360969272762575,1
stop addict love,stop addict someon,0.5031026124151314,0
hire two privat eye order follow,would abl hire two privat investig get follow,0.41120705506761857,1
find startup acceler,startup acceler give fund,0.4112070550676187,0
check wifi histori access android phone,can not open quora wifi router access mobil network,0.1597642092414444,0
signific battl somm battl compar contrast battl rostov,signific battl somm battl compar contrast battl riyadh,0.8680942667801238,1
creativ colleg admiss essay read,colleg admiss offic cri public read applic essay,0.4743307064971939,0
would happen cover one eye eye patch one year take patch,happen eye medicin enter eye,0.3119401407656092,0
possibl pursu mani differ thing life,refus chose differ thing life,0.3808726084759436,1
ben affleck shine christian bale batman,fanboy pleas true batman christian bale ben affleck,0.57273935841962,1
busi good start hyderabad,busi better start hyderabad,0.6029748160380572,1
stop possess,stop possess person love,0.5797386715376657,1
wife lord krishna,father lord krishna,0.5031026124151314,0
best combin cours take along ca enhanc career,cours must taken along ca cours,0.3533721544668103,1
take screenshot mac laptop,take screenshot macbook pro instruct,0.29121941856368966,1
work execut recruit like,like work execut recruit,1.0,0
psycholog need collect fulfil,peopl collect thing,0.17077611319011649,0
must watch tv show die,must watch tv show,0.8181802073667197,1
becom fluent chines,becom fluent chines,1.0000000000000002,1
effect demonit 500 1000 rupe note real estat sector,impact scrap ₹500 ₹1000 rupe note real estat market,0.5031026124151314,1
easiest way becom billionair dollar,best way becom billionair,0.5101490193104813,1
peopl will give free lectur conduct free workshop india colleg,almost two week prozac still feel antisoci still want go event social behavior mood chang daili,0.0,0
best way start learn robot,best way start robot best develop board start work,0.6150591955205679,0
peopl hate hillari clinton,reason peopl dislik hillari clinton,0.5101490193104813,1
women period regard unclean prevent take activ part ritual hinduism,alway expect woman take care housework children cook especi indian cultur activ respons women alon men share equal work,0.12432037436396859,0
atheism lack belief god term belief god,atheism lack belief god claim god exist,0.6985957980290542,0
like jack dorsey,jack dorsey like,1.0000000000000002,0
best quot lesson assassin creed seri,assassin best robe assassin creed,0.4740861246967298,0
inkjet printer use color ink print black white document,cmyk printer creat black use color ink complement black ink shop charg color print,0.522515439630593,0
creativ import,creativ import,0.9999999999999998,1
hillari clinton could continu presidenti campaign would democrat parti choos new candid,hillari clinton longer serv democrat nomine would successor chosen,0.24129913647238907,1
headphon work antenna play fm radio channel mobil phone mobil compani instal inbuilt antenna phone abl play fm without headphon,phone built fm antenna,0.3748077700589726,0
best career growth technolog autom engin apart autom tool,himalayan duke ktm 200 tour,0.0,0
disadvantag list compani nse,benefit list compani nse,0.6029748160380572,0
mani deriv object posit respect time continu,draw becom fun,0.0,0
neutron star made,neutron star made neutron,0.9428090415820636,1
got 3 8 gpa enough get top univers like harvard,3 8 gpa suffici get top school,0.31710746658027095,1
profit way trade binari option,binari option trade,0.6569729210330906,0
util free time avoid depress,person graduat iim like lik even new iim like ranchi trichi ever catch graduat abc get similar packag,0.0,0
learn comput secur,get start learn inform secur,0.3563004293331381,1
earn quora,earn money quora,0.7092972666062738,1
puk code,puk tf64simc4,0.3360969272762574,1
find job japan,find job japan,1.0000000000000002,0
exampl sentenc use word hysteria,best home wireless network setup expect speed,0.0,0
anoth billion dollar lotteri jackpot,lotteri reach next billion dollar jackpot,0.5803329846765685,1
scari drive road hana given turn,need four wheel drive car drive way road hana,0.3360098827811411,0
creat new shell new termin use c program linux termin,creat new termin new shell linux use c program,0.9647638212377323,1
cognit affect percept,cognit strain affect digest,0.4112070550676187,0
tqwl differ ckwl tatkal wait list,made railway reserv got tatkal wait list get refund cancel,0.2447853117345521,0
make world better place live futur generat,make world better place,0.6348087971775132,1
mani champion leagu legend,best lol leagu legend champion,0.5101490193104813,0
drink 4 liter water day unhealthi,mani liter water drink run 5kms daili,0.34464214103805474,0
water great lake come lake wildlif compar lake prespa,water great lake come lake wildlif compar lake como,0.8763511049989043,0
porn star watch porn,book ronda rousey star adult movi,0.09193998174078082,0
trump support feel way walk back promis,trump support expect presid live promis forc sold,0.2532094495161745,0
worri other opinion,care other opinion other think us,0.4552018457650676,1
potti train 4 month pitbul,potti train two month old labrador pup,0.4073526042885674,1
jump rope five minut mani calori use,best way jump rope,0.23790309463326234,0
onlin test seri best gate 2017 cs stream,test seri best gate comput scienc stream,0.5056055588739691,1
best materi understand algorithm analysi newbi,math complet newbi need understand algorithm comput program book algorithm suitabl complet beginn,0.2542536765805728,0
tempera bullmastiff huski mix,tempera corgi huski mix,0.6029748160380572,0
8 ball 7 weigh 1 differ weight know heavier lighter find odd ball 2 weigh,mani 4 digit number form use 0 1 2 3 4 5 6 7 mani 4000 6000,0.0,0
play raisin sun walter ad beneatha argu,raisin sun walter beneatha argu,0.7474073540060464,1
sign ultra smart person play dumb,sign ultra smart peopl hide intellig,0.33609692727625745,1
dark energi creat expans infinit creat,energi conserv expand univers potenti energi infinit energi creat infinit,0.4741729445055186,1
get book publish,good way write publish book,0.3563004293331381,0
disrupt bloomberg,disrupt bloomberg,0.9999999999999998,1
flash run fast,flash dc charact fast flash run mile,0.6687318761258383,0
best way invest dollar500 legal get tangibl profit relat short period time say 6 month,best invest ₹5000 next 6 month,0.2288273118542702,0
implement gst bill impact live common peopl,exact gst bill exact affect common peopl,0.3408242166238352,1
recov gmail password,rememb password gmail account recov account,0.4826796606496645,1
accur mental ill diagnos,accur diagnos medic mental ill,0.8181802073667197,1
knee pain 20 year old girl normal,normal 14 year old girl spit blood,0.40298220897396103,0
qualiti good leader,good qualiti leader,1.0000000000000002,1
differ bay gulf strait,exact differ sea bay,0.3360969272762575,0
modi win 2019,narendra modi becom prime minist india 2019,0.2910691023819054,1
open dmart store india franchis,get relianc digit store franchis,0.2523342014336961,0
best youtub channel learn medicin,best youtub channel learn git,0.6694188517266485,0
swami vivekananda ever eat non veg egg journey around world,hindus eat non veg,0.3278707471841718,0
happen cancel tqwl ticket chart done,cancel tatkal wait list ticket,0.22576484600261604,0
exact common core initi standard pros con,pros con common core standard initi,0.8673636849609287,1
choos journal publish paper,publish paper,0.5797386715376657,1
